Date,Time,Tweet,Symptom,Link
15/11/2020,3:13,"RT @DrPoorman: @meganranney I've said from the beginning: hospitals should be allowing camera crews into the hospital, news stations shouldâ€¦","stations,beginning,hospitals,news,camera,said,crews",
15/11/2020,3:06,"RT @ValeBodi: ""Societyâ€™s inability to explain or treat long COVID now is the predictable result of our past neglect of post-viral illnessesâ€¦","long,result,covid,illnesses,treat,explain,...,predictable,post-viral",
15/11/2020,3:01,"RT @TomKindlon: 2/2
â€œSocietyâ€™s inability to explain or treat long #COVID now is the predictable result of our past neglect of post-viral ilâ€¦","result,treat,explain,...,society,inability,predictable,post-viral",
15/11/2020,3:00,RT @zampgelso: @DrIanWeissman @DrLindaMD I havenâ€™t been able to do anything normal outside or visit w family indoors since March. Our familâ€¦,"indoors,visit,able",
15/11/2020,2:54,"RT @saveswedencov19: In memory of the victims of Sweden's Covid strategy. Those who died, those who got #LongCovid, those who are fightingâ€¦","strategy,victims,covid",
15/11/2020,2:52,"@KenJee_DS 
Thanks for #66daysofdata 
It was a wonderful experience. 
On another note,
How do you think DS will contribute to helping with 
#COVID19 relief in the coming months?
#justcurious #Covid_19 #LongCovid","wonderful,coming,months,experience",
15/11/2020,2:48,"RT @Dakota_150: @NIHDirector @WNCathedral @NIAIDNews Hey Francis, how about addressing #MECFS? W/#LongCovid, this epidemic is only growing.â€¦","addressing,longcovid",
15/11/2020,2:46,"@fyzio4u @LenMacPT Iâ€™m doing what I can to educate on #longcovid, since there seems to be an idea that people either fully recovery or die, with nothing in between. Yet I even have family members who have let their guard down, fully knowing what I am going through. ðŸ¤·ðŸ½â€â™€ï¸","die,guard,members,fully,recovery,knowing",
15/11/2020,2:33,"RT @long_recovery: ""There is no tragedy in life like the death of a child"" and everybody is somebodies child. Our thought are with all theâ€¦","child,everybody,death,tragedy,somebodies",
15/11/2020,2:33,"""Societyâ€™s inability to explain or treat long COVID now is the predictable result of our past neglect of post-viral illnesses."" Open-Ed by Jonathan Hawkins @Plutonian_sword  https://t.co/tTOuwlCdSs #LongCovid #MECFS #PostViralSequelae #PwME","long,result,covid,illnesses,treat,explain,open-ed,hawkins,predictable,post-viral,jonathan",https://t.co/tTOuwlCdSs
15/11/2020,2:25,"RT @dysclinic: @DrJenGunter Yes, in our preliminary study, headache was one of the most common neurologic manifestations of both acute andâ€¦","preliminary,neurologic,headache,acute,...,manifestations,study",
15/11/2020,2:18,RT @trvrb: If we don't take action soon the virus will decide for us. An eventual 30% of the US infected would correspond to ~450k deaths (â€¦,"action,deaths,~450k",
15/11/2020,2:16,"RT @AnilvanderZee: Debunking â€˜1 in 5 COVID-19 patients develop mental illnessâ€™ by @CoyneoftheRealm
Excellent and also an insightful blog!â€¦","blog,patients,illness,excellent,...,mental,covid-19,insightful",
15/11/2020,2:13,"RT @EricTopol: Every day a new record. A record of lack of will to take action, promote infections, hospitalizations, #LongCovid, and deathâ€¦","record,promote,action,lack,hospitalizations,infections",
15/11/2020,2:01,"RT @LongCovidSOS: Reflections of a COVID-19 Long Hauler: ""how I will use this experience to be a better physician"" 
#LongCovid 
https://t.â€¦","hauler,long",
15/11/2020,1:52,@mancunianmedic I'd say most people don't think about the potential for #LongCovid #longhaulers. I wish we could have another next slide off @CMO_England that gave a running total of patients not recovered but at home with disability.  That might make people think twice?,"recovered,patients,slide,people,total",
15/11/2020,1:51,"People keep asking if I'm back to working on my PhD yet &amp; are surprised when I say I'm still on medical leave. 
I just spent 2 minutes wandering around the kitchen looking for a ""spready spread"" (knife) &amp; just spelled kitchen as kitchening. 
#LongCovid #longhaulers #phdlife","working,medical,spent,phd,spready,spread,asking,leave",
15/11/2020,1:38,RT @AngieDistel: Can my followers please help by giving this a RT? We really need some help soon. I appreciate it. https://t.co/MNDMI8dqXDâ€¦,appreciate,https://t.co/MNDMI8dqXD
15/11/2020,1:37,RT @darrenabrown: Lots of discussion in #LongCOVID groups about @NICEComms agreeing difinituve nomenclature of the long term consequences oâ€¦,"consequences,long,discussion,nomenclature,difinituve,groups",
15/11/2020,1:35,"â€˜Epidemic Neuromyastheniaâ€™ 1955-1978 - fascinating article and investigation into a baffling condition - not unlike #LongCovid 
https://t.co/zFiyyGk8yC","baffling,fascinating,condition,1955-1978,article",https://t.co/zFiyyGk8yC
15/11/2020,1:34,Can my followers please help by giving this a RT? We really need some help soon. I appreciate it. https://t.co/MNDMI8dqXD #LongCovid #BidenHarris #RESIST #lockdown #WeNeedYourHelp,appreciate,https://t.co/MNDMI8dqXD
15/11/2020,1:32,"RT @ahandvanish: 55,200 more people with #LongCovid TODAY, by Fauciâ€™s estimates. 
We do not have the health infrastructure for this!","infrastructure,fauci,health",
15/11/2020,1:31,UPDATE: #LongCovid people falling for this. https://t.co/yYFAvF5huP,,https://t.co/yYFAvF5huP
15/11/2020,1:29,"RT @SusannahFox: Excellent article (but please @JAMA_current, use #LongCovid instead of post-COVID syndrome) https://t.co/Jb9vuDtK1m","syndrome,use,post-covid",https://t.co/Jb9vuDtK1m
15/11/2020,1:21,RT @ISARIC1: Thatâ€™s what we intend to find out | join us to discuss | 9 &amp; 10 December 2020 | @GloPID_R @ISARIC1 #LONGCOVID forum | open toâ€¦,"...,join,open,discuss",
15/11/2020,1:19,"@RobinCogan @GypsyRN212 Thank you for this. There are several areas of research that I think needs to be focused for #LongCovid #covidlong 
Iâ€™m starting to have more good days than bad days. At 8 months. Still canâ€™t do bedside nursing ðŸ˜ž","areas,months",
15/11/2020,1:01,"RT @Plutonian_sword: My op-ed on #MECFS and #LongCovid got published! Thank you to the fantastic patient advocate Evelien Van Den Brink, whâ€¦","patient,advocate,evelien,...,van,fantastic,brink,den",
15/11/2020,0:49,"@KickBrainTumors Yes, none have experienced #longcovid ðŸ¤ž",,
15/11/2020,0:49,RT @ahandvanish: The CDC is starting to acknowledge us &amp; the #LongCovid numbers are high: 35% of people are not back to normal after the suâ€¦,"starting,numbers,acknowledge",
15/11/2020,0:46,"Only now, itâ€™s not just people with #MECFS who are watching in fear and can see the broken track ahead.
Now, #LongCovid patients join us along w/ providers &amp; researchers &amp; journalists who recognize it as a serious concern in this pandemic. 
Iâ€™m still terrified, just less alone.","ahead,journalists,patients,people,concern,watching,broken,pandemic,track,fear",
15/11/2020,0:39,"@ladycatlin2 @joanna_brady @CMO_England @educationgovuk @GavinWilliamson @BorisJohnson @Parents_Utd @i_am_sam82 @Unusual_Times Exactly and vulnerable children, bad teachers and their vulnerable family members. Plus kids get #LongCovid too","teachers,plus,members,children,vulnerable",
15/11/2020,0:36,"Reflections of a COVID-19 Long Hauler: ""how I will use this experience to be a better physician"" 
#LongCovid 
https://t.co/49Iih673ga","hauler,long",https://t.co/49Iih673ga
15/11/2020,0:18,RT @GlobalPHObserv: Younger Adults Caught in COVID-19 Crosshairs as Demographics Shift #LongCovid https://t.co/SfFJ9K0asT,"demographics,covid-19,crosshairs",https://t.co/SfFJ9K0asT
15/11/2020,0:17,RT @Fatigo_MECFS: A quick illustrative explanation of how 30 years of psychiatric monopolisation of ME/CFS has left post-viral illnesses inâ€¦,"me/cfs,psychiatric,explanation,illnesses,monopolisation,illustrative,post-viral",
15/11/2020,0:15,"RT @ahandvanish: 55,200 more people with #LongCovid TODAY, by Fauciâ€™s estimates. 
We do not have the health infrastructure for this! httpsâ€¦","infrastructure,fauci,health",
15/11/2020,0:14,"@MEActNet @joy_pops Are you aware that Dr Phil from The Lightening Process is promoting his 'therapy' for #LongCovid sufferers? 
He was at a conference in Warsaw as a speaker. 
#LongCovid sufferers need to be protected from this.","conference,process,speaker,warsaw,sufferers,lightening",
15/11/2020,0:03,@cutedefsoul Have you looked up #LongCovid or long haulers Covid? Thereâ€™s also groups on Facebook. They talk about all the symptoms they continue to have despite now being negative. There are some treatments for some things.,"treatments,long,covid,groups,haulers",
14/11/2020,23:56,"the relationship between #LongCovid and #MECFS isn't known yet. if there's anyone who i trust to research it, it's superman.
hopefully more research by others will follow.
(superman is ron davis, whitney's dad and longtime dedicated doctor.)
https://t.co/mKc66A9Ryq","known,davis,trust,dad,whitney,research,dedicated,ron",https://t.co/mKc66A9Ryq
14/11/2020,23:54,"ICU Nurse: Many COVID-19 Patients Regret Not Heeding Warnings : NPR
And letâ€™s not forget the #LongCovid #apresj20 #Covid19 #ComptezlesCovidLongs #CountLongCovid  https://t.co/5pMnRZ8IMa","warnings,heeding,covid-19,patients",https://t.co/5pMnRZ8IMa
14/11/2020,23:36,"@DonasTheHorse I had NO idea horses ðŸ´ could catch C19! You're strong, you'll heal fast I hope.
I got it mild in March but now a #LongCovid #longhaulers 
Please y'all, heed our steed and wear a mask, wash your hooves and keep your distances. This virus ain't fun at all","idea,mild,catch,steed,c19,horses",
14/11/2020,23:34,"@KickBrainTumors Yes. One who died, two still experiencing #LongCovid and five with mild symptoms","mild,experiencing",
14/11/2020,23:27,"Im really getting down. My mental health is not handling being sick this long. Any fun, light, comedy shows or movies you recommend? #LongCovid #COVID19","fun,health,handling,comedy,mental,light",
14/11/2020,23:18,"RT @dianaberrent: ðŸ’ªâ¤ï¸ðŸ’ªTHIS is the story of @Survivor_Corps .
Thank you @NY1 and the amazing @LydiaHuNews for sharing our story with the worâ€¦",story,
14/11/2020,23:12,"RT @RobertHMcMullen: 1) Virtual conference on Supporting Patients Living with #longCovid: https://t.co/Br5lcZmBPM 
Wed 9 December
Speakerâ€¦","patients,wed,supporting",https://t.co/Br5lcZmBPM
14/11/2020,23:11,"Chronic illness can lead to more serious Covid19 on exposure -
Which in turn can lead to more serious chronic illness ""post"" Covid19.
#LongCovid
https://t.co/xTkmurinuJ","covid19,exposure,chronic,illness",https://t.co/xTkmurinuJ
14/11/2020,23:10,"Two weeks.  
That's all.  
Imagine how many lives would be saved if everyone followed the rules for two weeks.  
It's not too much too ask. 
#CovidVaccine 
#LongCovid 
#coronavirusuk 
https://t.co/GD1Dadd0Ju","saved,rules,lives",https://t.co/GD1Dadd0Ju
14/11/2020,23:07,RT @jamesiankelley: Please register for this free webinar outlining our experience of our COVID recovery program so far. @WellingtonHosp #Lâ€¦,"covid,webinar,far,free,recovery",
14/11/2020,22:49,Younger Adults Caught in COVID-19 Crosshairs as Demographics Shift #LongCovid https://t.co/SfFJ9K0asT,"demographics,covid-19,crosshairs",https://t.co/SfFJ9K0asT
14/11/2020,22:48,RT @HallekMichael: Persistent fatigue following SARS-CoV-2 infection is common and independent of severity of initial infection - #LongCoviâ€¦,"infection,sars-cov-2,initial,independent,severity",
14/11/2020,22:34,"@DeskBuddyUK @jlandpartners Iâ€™m a big @DeskBuddyUK fan. Is there a #camo one with my name on it??? A #covidrecovery #deskbuddy? @WeAreResource @AsifChoudry @Joel_Resource @Elliot_Resource  
#LongCovid #superfan https://t.co/kN650yj8Sn","fan,big",
14/11/2020,22:32,"Excellent article (but please @JAMA_current, use #LongCovid instead of post-COVID syndrome) https://t.co/Jb9vuDtK1m","syndrome,use,post-covid",https://t.co/Jb9vuDtK1m
14/11/2020,22:30,"'We know what viruses can do to the #immune system long term. And we know that other coronaviruses have left survivors with similar symptoms. So why are #covid19 long-haulers having such a hard time being taken seriously?"" #LongCovid
https://t.co/yg77UijU3k https://t.co/YLCNYX0PdU","coronaviruses,long,hard,similar,taken,seriously",https://t.co/yg77UijU3k
14/11/2020,22:29,"RT @Know_HG: Calling everyone with #LongCovid &amp; scientists, Long Covid Forum, 9/10 Dec. International research summit. Itâ€™s been co-createdâ€¦","scientists,forum,covid,international,summit,research",
14/11/2020,22:28,@CovidSolidarit1 @C19LongHauler Yeah! Such commitment. Solidarity #LongCovid buddy https://t.co/dAzlrPUiym,"buddy,solidarity,commitment",
14/11/2020,22:26,"@C19LongHauler Itâ€™s been so scary &amp; to be judged, disbelieved like Iâ€™m faking the last 8 months of hideousness broke me. I have anxiety attacks picking up my children from school-fighting through non-mask wearing tourists not social distancing. #LongCovid #covidrecovery #anxiety #PTSD itâ€™s real","months,judged,anxiety,wearing,children,tourists,social,distancing,attacks,picking",
14/11/2020,22:25,"To bed again then, wish me luck #LongCovid https://t.co/3Uu1sizys3","wish,luck",
14/11/2020,22:20,RT @Anxiety_Jack_: Since recovering from #COVID__19 I've had a headache almost daily and the extreme fatigue is horrific. I also haven't fuâ€¦,"fatigue,horrific,extreme",
14/11/2020,22:18,"Eight months and more thanÂ 50Â million documented cases into the pandemic, thereâ€™s still much we donâ€™t understand about SARS-CoV-2. 
#LongCovid 
https://t.co/tbRYPsM081","n't,documented,cases,pandemic",https://t.co/tbRYPsM081
14/11/2020,22:03,RT @herlifeinpixels: I'm a part of this piece on #LongCovid that highlights real patient voices across the globe and advocates for multi-diâ€¦,"globe,voices,patient",
14/11/2020,22:01,RT @DocAmali: Long Covid: We are disappointed that the learning points donâ€™t include â€˜doctors should assess and investigate patients properâ€¦,"patients,investigate,points,learning",
14/11/2020,21:53,"RT @Know_HG: Oh look everyone, some doctors and other health professionals are having a conference about how to help people with #LongCovidâ€¦","conference,health,people,doctors,professionals",
14/11/2020,21:43,"Some days with #LongCovid aren't too bad. A few days ago, I was able to go for a walk around the block. Today, I keep thinking I will take a shower, but I'm so fatigued. And my diaphragm &amp; lungs really hurt today. All I can do is take each day as it comes.","thinking,shower,block",
14/11/2020,21:41,"@JReinerMD Thank you for mentioning #longhaulers on CNN. None of us are taking off our masks and celebrating. We are too sick to celebrate, and too scared to get sick again. I am a cardiologist, and just gave a friend with #longcovid â€œpermissionâ€ to take a masked walk around the block.","cnn,sick,masked,cardiologist,walk,mentioning,gave,celebrate",
14/11/2020,21:38,"RT @RecoveryNor: A mother recounts the story of her daughters very severe #MECFS ""For years, I have just existed for another person. I needâ€¦","need,years,...,existed,person",
14/11/2020,21:38,RT @theheatherhogan: I wrote abut getting COVID in the first wave of NYers in March and how I didn't get better really and have developed aâ€¦,"nyers,wave",
14/11/2020,21:38,"A mother recounts the story of her daughters very severe #MECFS ""For years, I have just existed for another person. I need time to find myself again and our family has to reconnect"".
https://t.co/bHQOywsBAb
#LongCovid","need,existed,person,years",https://t.co/bHQOywsBAb
14/11/2020,21:38,"Saskatchewanâ€™s top doc seems to have failed #pandemic history. Take care of health, economy follows. #LongCovid creating tremendous mental anguish and physical suffering. Treat #MentalHealth fallout from lockdown by increasing care as Canada promised. #onpoli #skpoli #onpoli https://t.co/qQJN6bV6QE","anguish,canada,suffering,health,treat,economy,fallout,promised,mental,doc,increasing,care,physical",https://t.co/qQJN6bV6QE
14/11/2020,21:34,"RT @LongCovidSOS: Coping with #LongCovid in Cambridge - tips for students: ""donâ€™t try to look cool by taking two steps at a time up the staâ€¦","look,tips,cambridge",
14/11/2020,21:29,@AP Something to also be concerned about is the development of #LongCovid where people have lingering and sometimes debilitating symptoms for weeks and weeks after getting #COVID19,"debilitating,concerned,lingering",
14/11/2020,21:27,"New exercises and songs for our @cheynegang_COPD members. Our methods can assist breathlessness, cough, anxiety + dysfunctional breathing noted in #LongCovid. @QNI_Scotland @DundeeChest @NHS_Lothian @DrGregorSmith @jasonleitch https://t.co/jll0aerBYN","dysfunctional,breathlessness,anxiety,cough,breathing",https://t.co/jll0aerBYN
14/11/2020,21:25,RT @sickanddamned: #neisvoid #LongCovid can y'all boost and maybe add more prominent leftists tagged n into the convo,"leftists,prominent,boost",
14/11/2020,21:24,"If you think you have #LongCovid, #longhaulers, may I introduce you to the #NEISVoid community, aka No End In Sight Void, made up of people with MECFS, fibromyalgia, MS, chronic fatigue, etc.","sight,aka,void,fatigue,chronic,mecfs,end,fibromyalgia",
14/11/2020,21:23,"We're not counting or tracking #LongCovid. There isn't even an ICD-10 code for it in our medical system. That means doctor's cannot diagnose you with it properly in their system. I'm diagnosed with fever of unknown origin which is bull. I KNOW THE ORIGIN!
/17","code,/17,medical,icd-10,origin,tracking,counting,unknown",
14/11/2020,21:21,"@JamesSi41932301 @Effiedeans @putey_pute You've chosen the wrong person to try to convince that Covid-19 affects few people. I've been ill since March with #LongCovid, as have many thousands of others. Jog on.","affects,people,wrong,thousands,covid-19,jog,convince,person",
14/11/2020,21:21,"@KickBrainTumors Yes, several now &amp; one family member w #LongCovid. #WearAMask #MaskUp",member,
14/11/2020,21:20,Nails it! And itâ€™s not just applicable to students. #Lovid #LongCovid #LongHaulers #CountLongCovid https://t.co/NsglFb2UDZ,"students,applicable",https://t.co/NsglFb2UDZ
14/11/2020,21:20,"Covid tests weren't available back in March when I needed it, so my family &amp; I aren't included in any of the US covid statistics. I didn't die so that's great but I'm a shell of who I used to be. 
How many more will get #LongCovid like me? Will they get the care they need? 
/16","included,statistics,shell,covid",
14/11/2020,21:18,@LongCovidSOS Nails it!  Not just for students only... #Lovid #LongCovid #LongHaulers #CountLongCovid,,
14/11/2020,21:18,"I wrote this tweet after a bad relapse. I was grieving my old body and in a bad mental space. Now, 2 months I managed a 1-hour hike without any side-effects. I hope this gives hope to anyone with #LongCovid https://t.co/rja4jPVCwz https://t.co/pDKBsAUb2U","side-effects,relapse,months,space,body,mental,hope",https://t.co/rja4jPVCwz
14/11/2020,21:08,"RT @redaccionmedica: #LongCovid âž¡ï¸ El #Covid19 persistente dura 6ï¸âƒ£ meses y presenta 2ï¸âƒ£0ï¸âƒ£0ï¸âƒ£ sÃ­ntomas. 
Por @cagallegosj 
cc/ @SEMG_ES @lâ€¦","sintomas,cc/,por",
14/11/2020,21:05,"RT @pfanderson: Post Covid Syndrome Experience &amp; Needs Survey 
1,200 Longhauler Responses Collected the week of October 14-21, 2020
https:/â€¦","syndrome,covid,experience,longhauler,responses",
14/11/2020,20:57,RT @PlzSolveCFS: Welcome &amp; congrats @ronaldklain! We couldnâ€™t agree more! @SenMarkey is a great champion of research $ for #LongCOVID &amp; #MEâ€¦,"agree,research,champion,great",
14/11/2020,20:57,RT @PlzSolveCFS: Itâ€™s become evident that many people who get COVID-19 are not fully recovering. We want to build the largest dataset possiâ€¦,"people,dataset,...,possi",
14/11/2020,20:55,"Debunking â€˜1 in 5 COVID-19 patients develop mental illnessâ€™ by @CoyneoftheRealm
Excellent and also an insightful blog! 
#LongCovid
 https://t.co/LYL9YwxZSE","blog,patients,illness,excellent,mental,covid-19,insightful",https://t.co/LYL9YwxZSE
14/11/2020,20:55,"When I first heard about #COVID19 long-haulers (sometimes it's described as #LongCovid), it made me extra cautious about catching it.
This virus is not something to fuck around with. More people need to know about the consequences of this disease!","consequences,catching,heard,long-haulers",
14/11/2020,20:50,"RT @Dakota_150: @NIHDirector @BrighamWomens Hey Francis, here's a suggestion: Address #MECFS. Share updates. Show that you care. Do somethiâ€¦","updates,address,francis,share,suggestion",
14/11/2020,20:47,"Coping with #LongCovid in Cambridge - tips for students: ""donâ€™t try to look cool by taking two steps at a time up the stairs: you know Lovid will return with full force""
https://t.co/sMp889NsKI","force,look,tips,cambridge",https://t.co/sMp889NsKI
14/11/2020,20:47,"RT @livingsmallCA: I'm very grateful for my friend, @hassankhaderali. His grace, compassion + wisdom in the face of such overwhelming adverâ€¦","overwhelming,grace,...,adver,compassion",
14/11/2020,20:45,"I can verify this is not just the treatment patients are receiving at hospitals in El Paso. 
I received similar treatment and I wasnâ€™t deemed a COVID patient or even knew my health battle was due to #LongCovid yet. 
When America gets a cold, Black/Brown get pneumonia...or die. https://t.co/PLhClCtFDV","pneumonia,patients,covid,patient,paso,hospitals,received,knew,receiving,similar,health,battle,black/brown,...,die,treatment",https://t.co/PLhClCtFDV
14/11/2020,20:44,"RT @richardvallee: ""Societyâ€™s inability to explain or treat #LongCovid now is the predictable result of our past neglect of post-viral illnâ€¦","result,treat,explain,...,predictable,illn,post-viral",
14/11/2020,20:39,#Publichealth #MaskUpðŸ˜·  #Longcovid /#Haulers Describe the Devastating Aftereffects of the Disease .The damage caused by the virus can be brutal. And the burden of care will weigh on countries for years to come.@BW https://t.co/euhbRVz3gP,"burden,.the,care,weigh,countries,damage",https://t.co/euhbRVz3gP
14/11/2020,20:39,@MartinBevan15 @UKCovid19Stats I've been reading clinical studies on #longcovid I'm not a medical professional in that respect but the data is clear in the studies.,"studies,professional,medical,respect,clinical,data",
14/11/2020,20:28,RT @EricTopol: What happened to 488 people who survived #COVID19 and hospitalization 60 days later? https://t.co/IrCUnY5pHj @AnnalsofIM #Loâ€¦,hospitalization,https://t.co/IrCUnY5pHj
14/11/2020,20:26,"@effjayem @usmantm @ReemKhurshid From what I've read from folk who've had #LongCovid (including @DrJaninaRamirez) it can come &amp; go in waves so that doesn't sound unusual.
Hope both of you continue to recover. ðŸ’—","waves,hope,including,unusual",
14/11/2020,20:16,@fi_lowenstein I'm another Friday 13th long hauler. Hello #LongCovid twin. The VIP club none of us wanted to join.,"long,vip,wanted,join,club,hello,hauler",
14/11/2020,20:13,"Almost total #LongCovid relapse today, most in bed, all the symptoms except high fever. can barely move, function. Small cheese roll for tea and did manage a shower. It's never ending. Head, eyes, ears, lungs, kidneys, gastric cramps, skin. And my R foot goes numb.","relapse,head,eyes,total,ears,gastric,small,skin,lungs,cheese,cramps,shower,ending,kidneys,manage,fever,tea",
14/11/2020,20:11,"RT @carolbinks: Every symptom mentioned in this linked articleðŸ‘‡began 14 years ago - hair loss, weight loss, sleep &amp; muscle problems, gut isâ€¦","weight,...,gut,muscle,problems",
14/11/2020,20:09,"2/n
There was a shorter, adapted version of this (with more discussion of ME/CFS) in the latest @actionforme magazine which I preferred, but I can't find it online.
But different people will have different tastes.
#PostViralFatigueSyndrome #PostViralSyndrome #PVFS #LongCovid","adapted,tastes,people,different,version,shorter",
14/11/2020,20:09,RT @pfanderson: Why Are COVID-19 Long-Haulers Developing Fragrance Allergies? https://t.co/czsaOHwM1R #LongCovid 148/?,"long-haulers,allergies,developing,fragrance,covid-19",https://t.co/czsaOHwM1R
14/11/2020,20:09,RT @EllenaDeeley: If we fail to engage with or understand the social history of medicine in relation to post-viral fatigue states (particulâ€¦,"relation,fatigue,states,history,social,post-viral,medicine",
14/11/2020,19:59,"@jenoconnell @Robcass78 @ianguider Yes, but has to be said that people without underlying health conditions and w so called mild/mod Covid are having a hard time, many suffer fatigue and unable to work for months. Vaccine effect will take time too #LongCovid","underlying,unable,months,health,covid,hard,effect,mild/mod,vaccine,conditions,called",
14/11/2020,19:59,Why Are COVID-19 Long-Haulers Developing Fragrance Allergies? https://t.co/czsaOHwM1R #LongCovid 148/?,"long-haulers,allergies,developing,fragrance,covid-19",https://t.co/czsaOHwM1R
14/11/2020,19:59,"Covid survivors could have potentially life-threatening allergic reaction to hair dye
Research suggests patients with 'long Covid' could experience an increase in allergies after overcoming coronavirus https://t.co/YNSCNV722f #LongCovid 147/?","allergic,overcoming,covid,increase,reaction,'long,allergies,experience,dye,coronavirus,research",https://t.co/YNSCNV722f
14/11/2020,19:59,"RT @SuetLee4: Tracking illness, worried about a possible reinfection, 
Have ASM, lupus, asthma diabetes. Immunosuppressive meds
Anyone elseâ€¦","possible,reinfection,immunosuppressive,lupus,...,asthma,diabetes,meds",
14/11/2020,19:54,"RT @jkwan_md: #COVIDãƒ¼19 daily new/resolved cases in #Ontario:
ðŸ”´New cases: 1581
ðŸŸ¢New resolvedâ€ : 1003
â€ Resolved = 14 days post-symptom onseâ€¦","resolved+,onse,...,post-symptom,cases",
14/11/2020,19:52,Thoroughly enjoying Mozartâ€™s fabulous requiem on BBC2 tonight. Missing singing and my choir buddies so much. Feeling slightly emotional after this years turn of events and all the suffering.  #LCCS #covid #LongCovid #llandaffchoralsociety #mozart,"choir,fabulous,years,missing,singing,buddies,tonight,bbc2,requiem",
14/11/2020,19:50,"RT @RebDCruz: Delivering holistic, adaptive and pragmatic #PostCOVID &amp; #LongCOVID care:
Challenges and opportunities
Have a read of our Spâ€¦","challenges,care",
14/11/2020,19:44,"A small majority, 52%, think #LongCovid affects 1 in 3 ppl, when in reality it is est to affect 1 in 20, @TheConWom poll by @SavantaComRes",affects,
14/11/2020,19:34,Struggled to exercise this week. Not sure if #longcovid #migraine # otherviral #generalfatigue but the exhaustion is real. Going to try a spin class now ðŸ˜¬,"class,exhaustion,real,spin",
14/11/2020,19:29,"RT @jacoker2: Wow, Iâ€™ve seen x-rays of lungs of Covid patients which is an eye-opener, but this is even more revealing. And we must remembeâ€¦","patients,covid,lungs,x-rays,revealing",
14/11/2020,19:29,"Some COVID-19 patients face long haul to recovery, as effects linger months after virus https://t.co/JMKxdSDrDE #LongCovid 142/?","long,patients,haul,covid-19,effects,recovery",https://t.co/JMKxdSDrDE
14/11/2020,19:29,Annals of Internal Medicine: Sixty-Day Outcomes Among Patients Hospitalized With COVID-19 https://t.co/qkuHFAzAcG #LongCovid 141/?,"outcomes,sixty-day",https://t.co/qkuHFAzAcG
14/11/2020,19:29,Axios: The possible long-lasting effects of COVID-19 https://t.co/XWYTiio8lc #LongCovid 140/?,"long-lasting,effects",https://t.co/XWYTiio8lc
14/11/2020,19:29,"Long Covid: Young, female, and feeling sick six months after recovery https://t.co/z7NM7yshK2 #LongCovid 139/?","female,young,covid",https://t.co/z7NM7yshK2
14/11/2020,19:29,COVID-19 Survivor Attracts Attention of Leading Health Care Experts https://t.co/uA8s9cTt16 #LongCovid 138/?,"experts,leading,care,health",https://t.co/uA8s9cTt16
14/11/2020,19:29,Jonathan Hawkins: COVID-19 and chronic fatigue syndrome https://t.co/VWppggdX3A #LongCovid 137/?,"fatigue,chronic,covid-19",https://t.co/VWppggdX3A
